region,date,t,rate,rate_hat,cum,cum_hat_fit,cum_hat_pred,error,mse,quality,drift,Historic,Forecast
Fit,2009-04-01T00:00:00Z,0,77.06666666666666,205.0190794520548,0,0,0,0,0,1,1,,
Fit,2009-05-01T00:00:00Z,30,77.06666666666666,159.44812266806483,2312,5395.653246381713,2312,3083.653246381713,4754458.671960238,0.9861592811259396,0.9804262676553104,,
Fit,2009-06-01T00:00:00Z,61,208.29032258064515,132.19891526011574,8769,9883.263540609618,8769,1114.2635406096178,3583500.193950786,0.9879839472725168,0.9929271242378076,,
Fit,2009-07-01T00:00:00Z,91,175.3,114.71282237811936,14028,13571.451143825969,14028,-456.54885617403306,2739734.359981544,0.9894933966368256,0.9971020201043972,,
Fit,2009-08-01T00:00:00Z,122,124.58064516129032,101.69212229106245,17890,16915.6041731097,17890,-974.3958268903008,2381676.933477482,0.990203982901296,0.993814945589063,,
Fit,2009-09-01T00:00:00Z,153,108.7741935483871,91.83054754799132,21262,19908.712594478613,21262,-1353.287405521387,2289961.911555036,0.9903944499628616,0.9914099013914108,,
Fit,2009-10-01T00:00:00Z,183,75.06666666666666,84.28245710452597,23514,22546.362968198293,23514,-967.637031801707,2096584.6992348903,0.99080896721553,0.993857847574295,,
Fit,2009-11-01T00:00:00Z,214,72.83870967741936,77.9292017593465,25772,25057.42899308268,25772,-714.5710069173219,1898338.0773213836,0.9912542936991484,0.9954642041393316,,
Fit,2009-12-01T00:00:00Z,244,33.833333333333336,72.80831647753867,26787,27316.31687692297,26787,529.3168769229706,1718542.3305296174,0.9916787565860384,0.9966401193498088,,
Fit,2010-01-01T00:00:00Z,275,79.38709677419355,68.3192889559596,29248,29501.950194746823,29248,253.9501947468234,1553137.1676178505,0.9920893345960412,0.9983880310969826,,
Fit,2010-02-01T00:00:00Z,306,57.67741935483871,64.4637444778812,31036,31558.64103404394,31036,522.6410340439397,1436775.029695002,0.992391439557036,0.996682494789344,,
Fit,2010-03-01T00:00:00Z,334,54.714285714285715,61.41534259174882,32568,33320.0869273951,32568,752.086927395103,1364180.0060836358,0.9925861473659168,0.9952260688733258,,
Fit,2010-04-01T00:00:00Z,365,65.74193548387096,58.43045814574356,34606,35176.73652294484,34606,570.7365229448405,1284300.0193559076,0.9928064816832411,0.996377204877828,,
Fit,2010-05-01T00:00:00Z,395,55.63333333333333,55.86437798528532,36275,36890.43887109967,36275,615.4388710996718,1219618.9468348026,0.992989964932858,0.9960934531949862,,
Fit,2010-06-01T00:00:00Z,426,56.806451612903224,53.48997209913753,38036,38584.76533732493,38036,548.7653373249268,1158387.243409105,0.9931682023846616,0.9965166687125262,,
Fit,2010-07-01T00:00:00Z,456,57.63333333333333,51.41839393048879,39765,40157.879473013,39765,392.879473013003,1095635.183215722,0.9933558245188634,0.9975061665388276,,
Fit,2010-08-01T00:00:00Z,487,55.16129032258065,49.476601114906515,41475,41721.26916500739,41475,246.26916500739023,1034753.6137108818,0.9935430624635374,0.9984367870394438,,
Fit,2010-09-01T00:00:00Z,518,54.516129032258064,47.708321314056285,43165,43227.21986766286,43165,62.21986766286136,977482.3747231652,0.9937242941879448,0.9996050544795904,,
Fit,2010-10-01T00:00:00Z,548,51.6,46.140078428617905,44713,44634.61827885182,44713,-78.38172114818008,926359.2862751116,0.9938906101512696,0.9995024658390916,,
Fit,2010-11-01T00:00:00Z,579,48.58064516129032,44.648419443996445,46219,46041.523423952654,46219,-177.4765760473456,881616.2187136307,0.994039977561566,0.9988734534270094,,
Fit,2010-12-01T00:00:00Z,609,45.8,43.314509327462794,47593,47360.71449844543,47593,-232.28550155457197,842203.8537383367,0.9941747211235098,0.9985255494468076,,
Fit,2011-01-01T00:00:00Z,640,40.96774193548387,42.03619076006743,48863,48683.40304478635,48863,-179.5969552136521,805387.9997648676,0.994303466097314,0.99885999415291,,
Predict,2011-02-01T00:00:00Z,671,41.483870967741936,40.8481943284646,50149,49967.8910664704,50147.488021684054,-1.5119783159461804,2.286078427891447,0.9999904025983136,0.9999904025983136,,
Predict,2011-03-01T00:00:00Z,699,42,39.844621248248394,51325,51097.444865638274,51277.041820851926,-47.95817914807412,1151.1365128133316,0.9997846367859328,0.9996955816729768,,
Predict,2011-04-01T00:00:00Z,730,40.83870967741935,38.80263677565083,52591,52316.299045748,52495.89600096165,-95.1039990383506,3782.347886237752,0.9996096188448756,0.9993963198604544,,
